VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
Keith D. Barron,666011,05/28/2015,2900.32,TRVR-1501405,Travel Reimbursement 4/25-30/15,2900.32,Travel Reimbursement 4/25-30/15,100,General Fund,2501,Finance-Management,72121,Conference /Conventions,CHECK
SAF-GARD SAFETY SHOE CO INC,132622,05/27/2015,189.98,IN-0913372,CUST # 29469,189.98,Saf-guard Shoes-Street Cleaning,100,General Fund,2904,DPW-Surface Cleanin,71011,Uniforms & Safty Supplies-Employee,EFT
ROBERT HALF INTERNATIONAL,663581,05/13/2015,20728.09,42739393,CUST# 04320-101919000,19.12,OfficeTeam A Robert Half Company. Temps for the Call Center week ending  4/03/15 DPU-70552,810,Storm Water Operating Fund,98001,Customer Service,70552,Contract And Temporary Personnel Services,CHECK
CAPITAL AREA PARTNERSHIP UPLIFTING PEOPLE,666407,05/29/2015,1150.00,399,RIVER CITY BLUES TRANPORTATION 3/25/15,230.00,River City Blues / Transportation,301,HUD Fund,3610,Economic & Comm Dev Projects/Grants,70161,Management Services,CHECK
Miscellaneous Vendor,663102,05/12/2015,17.35,1440662314-2550160,PP 2014 312679,17.35,PP 2014 312679,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ARCET EQUIPMENT COMPANY,130746,05/13/2015,195.34,2624619,ACCT # C0817,54.86,Demolition Chipping Hammer for the Safety Building.,100,General Fund,2902,DPW-Gen Svcs-Facili,72154,Small Tools,EFT
FEDEX FREIGHT,662419,05/11/2015,38.14,5-014-31088,Potal and carrier services,38.14,Potal and carrier services,100,General Fund,2506,Finance-Collections,72113,Postal Services,CHECK
HAJOCA RICHMOND,663654,05/14/2015,5513.70,S015826962.001,CUST # E2817,17.73,"Heating Element to Repair Heat at the Main Library, Per Quote S015826962",100,General Fund,2902,DPW-Gen Svcs-Facili,71162,Heating Supplies,CHECK
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88534,HPCLJ 3000 BLACK TONER,66.60,"RCE401A - HP M551, M575 CYAN TONER CARTRIDGE",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,EFT
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88534,HPCLJ 3000 BLACK TONER,66.60,"RCE401A - HP M551, M575 CYAN TONER CARTRIDGE",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,EFT
UNIFIRST CORP,664673,05/21/2015,704.53,288 1468667,CUST # 407370,48.75,Third Quarter Services,100,General Fund,303,Library -Children And Fa,80006,Equipment And Other Assets Expense,CHECK
"L.T. Services, Inc.",133521,05/28/2015,6802.25,24048,CONTRACTED JANITORIAL SERVICE RENDERED,1823.01,Janitorial Services -400 Jeff Davis Hwy,808,Water Operating Fund,90002,Operations Support,71131,Janitorial Supplies,EFT
Miscellaneous Vendor,663524,05/13/2015,30.00,40293 -0515,Jury Payment for SHERRI D THOMAS  40293,30.00,Jury Payment for SHERRI D THOMAS  40293,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
MARTIN  MARIETTA AGGREGATES,663815,05/15/2015,11404.89,15032568,Cust # 471030,530.08,crushed stones aggregate base course,808,Water Operating Fund,92002,Water Maintenance,76120,Paving,CHECK
CDW GOVERNMENT  INC,664364,05/19/2015,1747.28,VD64042,Cust # 1137554,300.00,1869664 -SEAL SHIELD SLVR SURF KB W/TP-BLK,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
MAYER ELECTRIC SUPPLY CO INC,664025,05/18/2015,7246.80,18989225,Acct # 6300529,277.50,Electrical supplies for City Hall.,100,General Fund,2902,DPW-Gen Svcs-Facili,71151,Electrical Supplies,CHECK
B W WILSON PAPER CO,663621,05/13/2015,10658.88,1798546,cust# 1190000,1430.00,Monthly Paper Order for FY15-Husky Recy 8-1/2X11 20lb- Item Code 3160; Contract 1400000299,100,General Fund,2001,DIT-Administration,71012,Office Supplies And Stationary,CHECK
"RADIO COMMUNICATIONS OF VA,INC",132404,05/26/2015,284.00,400009623-1,"HT-750 4 CH., HT750 16 CH.",284.00,Radio service fee,100,General Fund,1502,Juv Justice-Detention,70215,Equipment Repair and Maint Services,EFT
CHROMATE INDUSTRIAL CORP,131260,05/18/2015,1211.43,G57A200501,553370,20.00,ORDER NUMBER G57A2005 DATED 03/02/2015 VIDEO SNAKE INSPECTION CAMERA,808,Water Operating Fund,92002,Water Maintenance,72112,Express Delivery Services,EFT
BAKER & TAYLOR INC,661901,05/06/2015,12233.70,5013592955,ACCT# 304545 L398559 3 B00000,86.67,ACCT# 304545 L398559 3 B00000,100,General Fund,304,Library -Young Adult Services,71141,Books & Reference Materials,CHECK
Miscellaneous Vendor,662494,05/12/2015,18.00,1431584514-2549681,PP 2014 45539,18.00,PP 2014 45539,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Raco Manufacturing And Engineering Co,662407,05/11/2015,4795.00,89547,CUST X00218,55.00,Estimated Shipping Charge,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
SPIRIT CRUISES LLC,665001,05/26/2015,1512.14,2013109-24,Senior trip,837.02,Senior trip,1314,Senior Citizens Programs,0,Default,22104,Due To Various Agents,CHECK
CFS GROUP LLC,664993,05/26/2015,397.37,219161,HERMITAGE RD,96.30,CFS (11112-3): Trash removal from 2800 - 2802 Hermitage Rd  (until the end of fy15),100,General Fund,2910,DPW-Trans Admin/Sig,70218,Vehicle Repair And Maint Services,CHECK
Miscellaneous Vendor,662701,05/12/2015,34.20,1430759614-2549614,PP 2014 26594,14.00,PP 2014 26594,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
AIRECO SUPPLY INC,129248,05/08/2015,292.97,5105844-00,CUST 8795,104.68,MBHP5E Black Max,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,EFT
LIGHTING MAINTENANCE INC,660218,05/04/2015,12400.00,14895B,Cust # RIC101,1344.00,FY14/15 System Upgrade District 7- Phase II- Wire Replacement,804,Electric Constructions Fund,90002,Operations Support,70552,Contract And Temporary Personnel Services,CHECK
PLEASANTS HARDWARE INC,664687,05/21/2015,302.55,547544/1,CUST# 60702,28.15,Industrial Supply,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76104,Utility Operating Supplies,CHECK
ASHBYS INC,662246,05/08/2015,12302.67,W 12331,"REPAIRS, PARTS, LABOR",518.02,"Repairs, parts, and labor for various automotive equipment",901,Fleet Management,2925,DPW-Fleet Managemen,77303,CGS-Commercial Costs,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5174-4,Cleaning Supplies,99.90,Windex Glass and Surface Cleaner 1 bx.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
TSRC INC,131818,05/20/2015,2444.28,2301518-0,CUST# 1002748,29.68,"USB Flash Drive,w/Retract. Connector/Security Feature,4GB,RD",100,General Fund,1001,Attorney-Legal Counsel,71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,660407,05/05/2015,133.62,368582,Full - E15042112 -119 S 1st Street,133.62,Full - E15042112 -119 S 1st Street,100,General Fund,502,PDR-Permits And Ins,44354,Electrical Inspection Fees,CHECK
TSRC INC,131590,05/19/2015,836.69,2299178-0,cust# 6460000,7.92,"Round Stic Ballpoint Pen,Med. Point,12/BX, Red Ink",100,General Fund,1604,Sheriff-Jail Operations,71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,660626,05/06/2015,9.75,1450479614-2544388,PP 2014 97941,9.75,PP 2014 97941,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
NEC CORPORATION OF AMERICA,666032,05/28/2015,717.79,MC0000031956,AFIS MAINTENANCE,717.79,AFIS Maintenance on forensics fingerprinting computer,100,General Fund,4103,Police-Administration,70215,Equipment Repair and Maint Services,CHECK
EQUIFAX INFORMATION SERVICES,660494,05/05/2015,2800.30,9075058,CURRENT CHARGES,520.85,Credit Reporting,808,Water Operating Fund,98001,Customer Service,70161,Management Services,CHECK
MOORE MEDICAL LLC,665117,05/27/2015,1635.40,985264201,STERI-FAB 16 OZ SPRING BOTTLE,59.45,68221 - OB KIT SOFTPACK,201,Grants Fund,4209,Fire&Emg Serv Projects/Grants,71171,Medical And Laboratory Supp,CHECK
DEPT OF GENERAL SERVICES,665959,05/28/2015,415.00,R 36114,CHAIR CHAIR STOVE,50.00,15-0115  chair 003  1502a,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,661220,05/06/2015,7.18,1433734814-2544235,PP 2014 78634,7.18,PP 2014 78634,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
SID TOOL CO INC,660025,05/01/2015,1666.65,C38021045,CUST 01608263,160.08,"CONTACT CLEANER, CRC - 16 OZ CAN CONTACT CLEANER  #02983021",809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,663074,05/12/2015,6.78,1438817114-2550088,PP 2014 247222,6.78,PP 2014 247222,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32515,RICHMOND GARAGE,306.88,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,71164,Industrial and Shop Supplies,EFT
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32515,RICHMOND GARAGE,306.88,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,71164,Industrial and Shop Supplies,EFT
SCHOOL SPECIALITY,664685,05/21/2015,381.34,2.08114E+11,CUST # 434480,125.00,file box 37qt letter/legal wing lid,401,Special Revenue Fund,312,Library - Richmond Public Library,71143,Educational Supplies,CHECK
OFFICE INC,663686,05/14/2015,481.22,0012261-001REENTER,ACCT RICH1PM2,3.48,PIL31507 - Gel ink rolling ball pen is made with a high percentage of recycled material. Dynamic gel ink formula is designed for smooth writing. Retractable pen is smear-proof. Refillable.,808,Water Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,CHECK
BRANSCOME INC,127078,05/04/2015,4441.50,445238 R1,CUST# 10054837,1359.45,Cold Mix Asphalt for temporary patching.,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,70123,Contractor Construction Sevices,EFT
HEALTHPORT TECHNOLOGIES LLC,664577,05/20/2015,227.04,166295549,CUST 1824165,34.00,"Medical Record Request for Risk Management  Inv. 0166295549 Woolridge,Queehan,",100,General Fund,2505,Finance-Risk Management,77401,Claims & Settlements,CHECK
TSRC INC,132407,05/26/2015,2134.15,2298012-0,cust 6460000,28.20,"Correctable Film, For CE25-CE666/CX80-CX95/400/420/440, BK",100,General Fund,5201,Treasurer - City Treasurer,71012,Office Supplies And Stationary,EFT
CLERK RICHMOND CIRCUIT COURT,663730,05/14/2015,623.00,CR14M05249-00,PUBLIC DEFENDER,623.00,"Public Defender - Elizabeth Linka
Case # CR14M05249-00",100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70151,Information & Research Services,CHECK
Miscellaneous Vendor,662683,05/12/2015,17.67,1430793714-2549618,PP 2014 27558,17.67,PP 2014 27558,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
BOB BARKER COMPANY INC,661949,05/06/2015,1277.51,WEB000364129,CUST RICVA8,900.83,Resident Hygiene,201,Grants Fund,1513,Juvenile Justice Project/Grants,76655,Personal Care Supplies,CHECK
Miscellaneous Vendor,663430,05/13/2015,60.00,158239 -0515,Jury Payment for LORRAINE D TAYLOR  158239,60.00,Jury Payment for LORRAINE D TAYLOR  158239,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
CINTAS CORP. NO 2,132385,05/26/2015,2039.18,143-10510-0215,Acct# 143-07285,627.44,Weekly servicing of 4 bathrooms at Shockoe@161.86 oer week FINAL JUNE 2015,809,Waste Water Operating Fund,93001,Wastewater Operations,70552,Contract And Temporary Personnel Services,EFT
R AND R OFFICE SUPPLY,664944,05/26/2015,800.61,0461265-001,ACCT CROA01-0,2.66,"Picture hanging strips with Command Adhesive hold firmly where placed. Fasteners can be separated and reattached with the rubber resin adhesive. When removed, they come off cleanly without surface damage. Each set holds up to 4 lb. Liner is",808,Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,661250,05/06/2015,60.61,1338273413-2543813,PP 2013 235724,11.50,PP 2013 235724,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5174-4,Cleaning Supplies,208.50,Vintage Latex Powder Free Gloves LG 100 ct.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
UNIFIRST CORP,663912,05/18/2015,213.09,288 1471320,CUST 341678,93.31,Cleaning of mats for all Faciliities locations,100,General Fund,2902,DPW-Gen Svcs-Facili,70212,Cleaning/Janitorial Services,CHECK
Miscellaneous Vendor,662855,05/12/2015,28.05,1437566614-2550046,PP 2014 204824,28.05,PP 2014 204824,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662637,05/12/2015,17.82,1431009314-2549636,PP 2014 32849,17.82,PP 2014 32849,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663419,05/13/2015,60.00,174686 -0515,Jury Payment for ROZALYN P WRIGHT  174686,60.00,Jury Payment for ROZALYN P WRIGHT  174686,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
DIAMOND SPRINGS WATER,660080,05/01/2015,48.40,2655938,CUST# 13714800,14.70,drinking water,100,General Fund,1303,Judiciary-Adult Drug Cour,70553,Food & Drink Services,CHECK
ROBERTS OXYGEN COMPANY INC,665135,05/27/2015,419.31,E60739,CUST # 95165,62.50,chemicals for city pools,100,General Fund,3007,Parks&Rec-Special Recreat,71181,Bulk Chemicals,CHECK
Miscellaneous Vendor,662832,05/12/2015,7.07,1435186514-2549942,PP 2014 100467,7.07,PP 2014 100467,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RIBBONS AND ROLLS  INC,664285,05/19/2015,351.17,0449335-001,ACCT# CRPA01-8,13.55,"PEN COUNTER, SECURITY, BK Quote 7457",100,General Fund,502,PDR-Permits And Ins,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,660046,05/01/2015,100.00,2014005-21822- 21823,WhiteHouse Christmas Trip,100.00,WhiteHouse Christmas Trip,1314,Senior Citizens Programs,0,Default,22104,Due To Various Agents,CHECK
Miscellaneous Vendor,664074,05/19/2015,19.73,1438482214-2556938,PP 2014 237224,19.73,PP 2014 237224,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0449489-001,ACCT # CRPA01-0,9.24,"File folders are perfect for color-coding. Two-tone design features a bright exterior color and a lighter shade interior to reduce misfiling. Single-ply tabs are 1/3 cut in assorted positions. Folders are made of 11 point, acid-free stock.",809,Waste Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
Kimberly T Barrow,666038,05/28/2015,92.00,TRVR-1501383,Travel Reimbursement  March 31/15,92.00,Travel Reimbursement  March 31/15,100,General Fund,3027,Hickory Hill Rec/Park,70413,Mileage,CHECK
Miscellaneous Vendor,661559,05/06/2015,14.57,1437232514-2544310,PP 2014 194143,14.57,PP 2014 194143,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,660482,05/05/2015,647.26,0437899-001,QUACO882,8.33,Interdepartmental envelopes feature standard interdepartmental print format for efficient internal correspondence. Made of sturdy Kraft stock. Use string-and-button closure to secure contents. Envelopes offer a standard style with five colu,808,Water Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,CHECK
ROBERT HALF INTERNATIONAL,660227,05/04/2015,718.40,42894892,K.DAVIS -W/E 04/24/15,20.36,"Administrative Secretary - Provides secretarial support for one or more professional, administrative and/or managerial employees.  Types letters, memoranda and forms from rough notes or handwritten drafts.  Maintains logs/records, calendars",807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,CHECK
Miscellaneous Vendor,666153,05/29/2015,36.52,1430787514-2582263,DSV,36.52,DSV,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661238,05/06/2015,10.29,1350083813-2544021,PP 2013 83005,10.29,PP 2013 83005,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663066,05/12/2015,21.37,1440822714-2550168,PP 2014 319374,21.37,PP 2014 319374,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Terry R Parker,660432,05/05/2015,152.16,TRVA-1501311,Travel Advance May 10/15,152.16,Travel Advance May 10/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
R AND R OFFICE SUPPLY,666401,05/29/2015,154.97,0463011-001REENTER,Acct # CRPA01-0,1.95,"Desk protector protects your desk from scratches, scuffs and spills. Design includes a smooth top and antislip back that will not mark your desk. 100 percent recyclable deskmat is made of Floortex Polycarbonate. This polycarbonate material",810,Storm Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
BEST UNIFORMS INC,661922,05/06/2015,46.00,361539,CUST# RICHMONDPD,24.00,PROPPER F5201-38-405 BDU PANTS 65/35 RIPSTOP/NAVY,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
SAFETY FIRST CO.,665979,05/28/2015,2367.75,66029,ORDER # 00041773,2367.75,fire extinguisher annual inspection,100,General Fund,3003,Parks&Rec-Infrastructure,70211,Building Repair And Maint Services,CHECK
ROBERT HALF INTERNATIONAL,663723,05/14/2015,4005.35,42837048,B.LEWIS -W/E 4/17/15,137.00,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,663723,05/14/2015,4005.35,42837048,B.LEWIS -W/E 4/17/15,137.00,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,663723,05/14/2015,4005.35,42837048,B.LEWIS -W/E 4/17/15,137.00,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,663723,05/14/2015,4005.35,42837048,B.LEWIS -W/E 4/17/15,137.00,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
ROBERT HALF INTERNATIONAL,663723,05/14/2015,4005.35,42837048,B.LEWIS -W/E 4/17/15,137.00,Accountant I - inspects and audits personal and commercial records,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
TSRC INC,132050,05/21/2015,544.30,2307983-0,Cust # 6460000,-0.30,"Stir Sticks, Plastic, For Hot/Cold, 1000/BX, White/Red",100,General Fund,3601,"Econ Dev-Admin,Finance &",71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,665060,05/27/2015,161.91,538328-001697,DPUCIS: MATTHEW CLARK  26-MAY-15,161.91,DPUCIS: MATTHEW CLARK  26-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0454620-001,ACCT# CRPA01-0,9.84,"Original Sharpie pen-style permanent marker marks on most hard-to-mark surfaces. Markings are permanent on most surfaces. Durable fine point tip produces thinner, detailed lines. Fade-resistant and water-resistant ink further extends multip",100,General Fund,2714,Social Ser-Family Stabiliz,71012,Office Supplies And Stationary,CHECK
ULTRA VIOLET LASER SUPPLIES,132408,05/26/2015,5445.25,88560,INOVERA COMPRESSED,23.37,"PERFORATED EDGE WRITING PAD, LEGAL RULED, LETTER, WHITE, 50-SHEET, DOZEN",100,General Fund,1604,Sheriff-Jail Operations,71012,Office Supplies And Stationary,EFT
MIDWEST TAPE LLC,660221,05/04/2015,2139.05,92764081,ACCT # 2000003018,36.79,ACCT # 2000003018,100,General Fund,302,Library -Adult And Famil,71141,Books & Reference Materials,CHECK
Miscellaneous Vendor,660565,05/06/2015,16.24,1372997313-2544078,PP 2013 182762,16.24,PP 2013 182762,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662703,05/12/2015,13.29,1430678714-2549612,PP 2014 22795,13.29,PP 2014 22795,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,666260,05/29/2015,7.64,1434049014-2582315,PP 2014 82614,7.64,PP 2014 82614,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
XEROX CORPORATION,133532,05/28/2015,2230.27,79238922,CUST #707249728,182.07,"Rental Agreement for Technical Services for Xerox 9201 ColorCube Copier Serial #BRE-244377 located at 900 E. Broad Street, Room 115, Customer #707249728 for periods 12/1/14 - 04/30/15 in Development Services.",807,Gas Operating Fund,96001,Technical Services,70511,Equipment Rental,EFT
Miscellaneous Vendor,663098,05/12/2015,5.02,1472165314-2550262,PP 2014 33744,5.02,PP 2014 33744,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661802,05/06/2015,6.92,1332525513-2543352,PP 2013 51021,6.92,PP 2013 51021,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
KAESER AND BLAIR  INC,662171,05/08/2015,183.00,50113373,JAVALIMA CLASSIC,10.00,Setup Charges,100,General Fund,4101,Police-Chief Of Police,70131,Public Information & Public Relations Services,CHECK
TIDEWATER FLEET SUPPLY LLC,663727,05/14/2015,58163.22,32815,CUST # 004870,8012.62,Commerce Rd Billing,901,Fleet Management,2925,DPW-Fleet Managemen,77101,Auto Parts & Other Automotive Supplies,CHECK
Miscellaneous Vendor,662674,05/12/2015,13.21,1432141514-2549726,PP 2014 55178,13.21,PP 2014 55178,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
BEST UNIFORMS INC,662053,05/07/2015,825.81,3247482,ACCT 1000875995,-79.95,Shoes For Colo Burnett,100,General Fund,1602,Sheriff-Courts,71011,Uniforms & Safty Supplies-Employee,CHECK
VIRGINIA INTERACTIVE LLC,662041,05/07/2015,474.00,577188,ALMUSER,474.00,ALM TAX PAYMENT SERVICES FOR Finance Collections area,100,General Fund,2506,Finance-Collections,70161,Management Services,CHECK
PARADIGM COMM PUBLICATION,664549,05/20/2015,4442.20,79805,LEGAL ADVERTISEMENT,347.36,Legal Advertisement for Judicial Tax Sales--Inv. 00079805,401,Special Revenue Fund,1002,Attorney-Delinquent Real,70152,Attorney/Legal Services,CHECK
Miscellaneous Vendor,661783,05/06/2015,8.41,1336151913-2543666,PP 2013 175187,8.41,PP 2013 175187,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
GREELEY AND HANSEN LLC,663585,05/13/2015,114750.93,INV-0000433242,CSO SEPERATION,6702.04,"Engineering services for design of CSO 028A Separation Project per Task Order EJ3-13 dated November 8, 2013",803,Wastewater Constructions Fund,96001,Technical Services,70121,Architectural And Engineering Services,CHECK
ALLIED BARTON SECURITY SERVICE,666066,05/28/2015,39273.41,6099059,SECURITY OFFICER AND ARMED SECURITY OFFICER,20.85,Account Manager,810,Storm Water Operating Fund,90002,Operations Support,70551,Security/Monitoring Services,CHECK
Miscellaneous Vendor,662842,05/12/2015,5.52,1451574814-2550229,PP 2014 342827,5.52,PP 2014 342827,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661655,05/06/2015,7.51,1432559614-2544200,PP 2014 61560,7.51,PP 2014 61560,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
HEROES APPAREL LLC,665105,05/27/2015,688.50,1621168,TYREN FRAIZER,100.00,Officer's 250 Allowance for Police Uniforms and Protective Gear.,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
CAROLINA CONTAINER CO DBA,662384,05/11/2015,1968.25,2014639,CUST# 33018,495.00,500 quantity medium evidence boxes 12 x 12 x 8,100,General Fund,4103,Police-Administration,76325,Storage,CHECK
Miscellaneous Vendor,663108,05/12/2015,17.75,1438576114-2550082,PP 2014 240736,17.75,PP 2014 240736,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
HEROES APPAREL LLC,665105,05/27/2015,688.50,1619795,BLACK EAGLE,91.00,Officer's 250 Allowance for Police Uniforms and Protective Gear.,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
HENKEL'S AND  MCCOY INC,132032,05/21/2015,312482.46,WLR-I1890,CUSTOMER 1834405,1196.90,Lead Renewal,802,Water Construction Fund,92001,Water Operations,70552,Contract And Temporary Personnel Services,EFT
UNIFIRST CORP,664673,05/21/2015,704.53,288 1467499,CUST # 381742,43.55,Mat services at various libraries thru June 2015,100,General Fund,303,Library -Children And Fa,80006,Equipment And Other Assets Expense,CHECK
GRAINGER INDUSTRIAL SUPPLY,660465,05/05/2015,6648.11,9715555703,ACCT 842860413,108.02,"35R792  Hi Vis Surveyor Vest, Class 1,XL,Red  Mfg Brand Name:  Viking  Mfr Part No:  4915R-XL",100,General Fund,2914,DPW-Bridge Main,72154,Small Tools,CHECK
Southern Refrigeration Corp,666320,05/29/2015,706.48,306222,R22 30,199.93,Southern Refrigeration- Plumbing Supplies And Exhaust Fan Belts- 400 Jeff Davis Hwy,809,Waste Water Operating Fund,90002,Operations Support,70211,Building Repair And Maint Services,CHECK
Douglas H. Murrow,660108,05/04/2015,9.13,TRVR-1501298,Travel Reimbursement April 21.15,9.13,Travel Reimbursement April 21.15,100,General Fund,502,PDR-Permits And Ins,70553,Food & Drink Services,CHECK
Miscellaneous Vendor,662846,05/12/2015,10.26,1439879014-2550127,DSV,10.26,DSV,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
CDW GOVERNMENT  INC,664364,05/19/2015,1747.28,VC38894,Cust # 1137554,24.00,2586135- ELO NORTH AMERICA POWER BRICK,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
UNIVAR USA INC,133529,05/28/2015,59912.29,RI676765,Cust # 688365 001,-133380.53,Methanol,809,Waste Water Operating Fund,93001,Wastewater Operations,76110,Utility Chemicals,EFT
DAVID JONES,660248,05/04/2015,19.71,TRVR-1501288,Travel Reimbursement 28/15,19.71,Travel Reimbursement 28/15,904,Electric Operating Fund,90002,Operations Support,70413,Mileage,CHECK
Miscellaneous Vendor,660719,05/06/2015,14.10,1434540214-2544274,PP 2014 88039,14.10,PP 2014 88039,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
